Executing 0 at PC 100
AF:1B0	BC:13	DE:D8	HL:14D	SP:FFFE
Executing c3 at PC 101
AF:1B0	BC:13	DE:D8	HL:14D	SP:FFFE
Executing 21 at PC 213
AF:1B0	BC:13	DE:D8	HL:4000	SP:FFFE
Executing c3 at PC 216
AF:1B0	BC:13	DE:D8	HL:4000	SP:FFFE
Executing 47 at PC 200
AF:1B0	BC:113	DE:D8	HL:4000	SP:FFFE
Executing 11 at PC 201
AF:1B0	BC:113	DE:C000	HL:4000	SP:FFFE
Executing e at PC 204
AF:1B0	BC:110	DE:C000	HL:4000	SP:FFFE
Executing 2a at PC 206
AF:C3B0	BC:110	DE:C000	HL:4001	SP:FFFE
Executing 12 at PC 207
AF:C3B0	BC:110	DE:C000	HL:4001	SP:FFFE
Executing 1c at PC 208
AF:C310	BC:110	DE:C001	HL:4001	SP:FFFE
Executing 20 at PC 209
AF:C310	BC:110	DE:C001	HL:4001	SP:FFFE
Executing 2a at PC 206
AF:2010	BC:110	DE:C001	HL:4002	SP:FFFE
Executing 12 at PC 207
AF:2010	BC:110	DE:C001	HL:4002	SP:FFFE
Executing 1c at PC 208
AF:2010	BC:110	DE:C002	HL:4002	SP:FFFE
Executing 20 at PC 209
AF:2010	BC:110	DE:C002	HL:4002	SP:FFFE
Executing 2a at PC 206
AF:C210	BC:110	DE:C002	HL:4003	SP:FFFE
Executing 12 at PC 207
AF:C210	BC:110	DE:C002	HL:4003	SP:FFFE
Executing 1c at PC 208
AF:C210	BC:110	DE:C003	HL:4003	SP:FFFE
Executing 20 at PC 209
AF:C210	BC:110	DE:C003	HL:4003	SP:FFFE
Executing 2a at PC 206
AF:D610	BC:110	DE:C003	HL:4004	SP:FFFE
Executing 12 at PC 207
AF:D610	BC:110	DE:C003	HL:4004	SP:FFFE
Executing 1c at PC 208
AF:D610	BC:110	DE:C004	HL:4004	SP:FFFE
Executing 20 at PC 209
AF:D610	BC:110	DE:C004	HL:4004	SP:FFFE
Executing 2a at PC 206
